brand,name,type,country,ingredient_list,ingredient_count,claimed_concerns,positive_concerns,negative_concerns,condition_concerns,positive_count,negative_count,condition_count,has_fragrance,has_drying_alcohol,has_irritants,has_vitamin_c,has_hyaluronic_acid,has_niacinamide,has_ceramides,has_aha,has_bha,has_retinoids,has_peptides,has_antioxidants,antioxidant_list,humectant_list,emollient_list,occlusive_list,peptide_list,retinoid_list,exfoliant_list,plant_extract_list,absorbent_list,film_forming_list,texture_enhancer_list,fragrance_ingredients,irritant_ingredients,drying_alcohol_ingredients
The Ordinary,Glycolic Acid 7% Toning Solution,toner,Canada,"['Water' 'Glycolic Acid' 'Rosa Damascena Flower Water'
 'Centaurea Cyanus Flower Water' 'Aloe Barbadensis Leaf Water'
 'Propanediol' 'Glycerin' 'Triethanolamine' 'Aminomethyl Propanol'
 'Panax Ginseng Root Extract' 'Tasmannia Lanceolata Fruit/Leaf Extract'
 'Aspartic Acid' 'Alanine' 'Glycine' 'Serine' 'Valine' 'Isoleucine'
 'Proline' 'Threonine' 'Histidine' 'Phenylalanine' 'Glutamic Acid'
 'Arginine' 'PCA' 'Sodium PCA' 'Sodium Lactate' 'Fructose' 'Glucose'
 'Sucrose' 'Urea' 'Hexyl Nicotinate' 'Dextrin' 'Citric Acid'
 'Polysorbate 20' 'Gellan Gum' 'Trisodium Ethylenediamine Disuccinate'
 'Sodium Chloride' 'Hexylene Glycol' 'Potassium Sorbate' 'Sodium Benzoate'
 '2-Hexanediol' 'Caprylyl Glycol']",42,"['good_for_oily_skin' 'skin_texture' 'reduces_large_pores' 'anti_aging'
 'dark_spots' 'brightening' 'drying' 'acne_trigger' 'irritating' 'rosacea']","['good_for_oily_skin' 'skin_texture' 'reduces_large_pores' 'anti_aging'
 'dark_spots' 'brightening']",['drying' 'acne_trigger' 'irritating'],['rosacea'],6,3,1,True,False,False,False,False,False,False,True,False,False,False,True,"['Centaurea Cyanus Flower Water', 'Aloe Barbadensis Leaf Water', 'Panax Ginseng Root Extract', 'Tasmannia Lanceolata Fruit/Leaf Extract', 'Aspartic Acid', 'Alanine', 'Serine', 'Threonine', 'Histidine', 'Phenylalanine', 'Arginine']","['Glycolic Acid', 'Centaurea Cyanus Flower Water', 'Aloe Barbadensis Leaf Water', 'Glycerin', 'Glycine', 'Serine', 'Valine', 'Isoleucine', 'Proline', 'Threonine', 'Glutamic Acid', 'Arginine', 'PCA', 'Sodium PCA', 'Sodium Lactate', 'Fructose', 'Glucose', 'Sucrose', 'Urea']",[],[],[],[],"['Glycolic Acid', 'Urea']","['Rosa Damascena Flower Water', 'Centaurea Cyanus Flower Water', 'Aloe Barbadensis Leaf Water', 'Panax Ginseng Root Extract', 'Caprylyl Glycol']",['Dextrin'],[],"['Propanediol', 'Glycerin', 'Dextrin', 'Gellan Gum', 'Sodium Chloride', 'Hexylene Glycol']",['Rosa Damascena Flower Water'],[],[]
La Roche-Posay,Toleriane Hydrating Gentle Face Cleanser,face cleanser,France,"['Water' 'Glycerin' 'Pentaerythrityl Tetraethylhexanoate'
 'Propylene Glycol' 'Ammonium Polyacryloyldimethyl Taurate'
 'Polysorbate 60' 'Ceramide NP' 'Niacinamide' 'Sodium Chloride'
 'Coco-Betaine' 'Disodium EDTA' 'Caprylyl Glycol' 'Panthenol'
 'T-Butyl Alcohol' 'Tocopherol']",15,"['good_for_oily_skin' 'redness_reducing' 'reduces_irritation' 'anti_aging'
 'acne_fighting' 'brightening' 'drying' 'acne_trigger']","['good_for_oily_skin' 'redness_reducing' 'reduces_irritation' 'anti_aging'
 'acne_fighting' 'brightening']",['drying' 'acne_trigger'],[],6,2,0,False,False,False,False,False,True,True,False,False,False,False,True,"['Niacinamide', 'Tocopherol']","['Glycerin', 'Propylene Glycol', 'Niacinamide', 'Panthenol']","['Pentaerythrityl Tetraethylhexanoate', 'Ceramide NP']",[],[],[],[],['Caprylyl Glycol'],[],[],"['Glycerin', 'Pentaerythrityl Tetraethylhexanoate', 'Propylene Glycol', 'Ammonium Polyacryloyldimethyl Taurate', 'Sodium Chloride']",[],[],[]
The Ordinary,Niacinamide 10% + Zinc 1%,facial treatment,Canada,"['Water' 'Niacinamide' 'Pentylene Glycol' 'Zinc PCA' 'Dimethyl Isosorbide'
 'Tamarindus Indica Seed Gum' 'Xanthan Gum' 'Isoceteth-20'
 'Ethoxydiglycol' 'Phenoxyethanol' 'Chlorphenesin']",11,"['good_for_oily_skin' 'redness_reducing' 'acne_fighting' 'brightening'
 'irritating']",['good_for_oily_skin' 'redness_reducing' 'acne_fighting' 'brightening'],['irritating'],[],4,1,0,False,False,False,False,False,True,False,False,False,False,False,True,['Niacinamide'],"['Niacinamide', 'Pentylene Glycol', 'Zinc PCA', 'Tamarindus Indica Seed Gum']",[],[],[],[],[],[],[],[],"['Dimethyl Isosorbide', 'Tamarindus Indica Seed Gum', 'Xanthan Gum', 'Ethoxydiglycol']",[],[],[]
Youth To The People,Superfood Antioxidant Cleanser,face cleanser,United States,"['Water' 'Cocamidopropyl Hydroxysultaine' 'Sodium Cocoyl Glutamate'
 'Sorbeth-230 Tetraoleate' 'Polysorbate 20' 'Sodium Chloride'
 'Aloe Barbadensis Leaf Juice Powder'
 'Brassica Oleracea Acephala Leaf Extract'
 'Spinacia Oleracea Leaf Extract' 'Camellia Sinensis Leaf Extract'
 'Medicago Sativa Extract' 'Chamomilla Recutita Flower Extract'
 'Ascorbyl Tetraisopalmitate' 'Glycerin' 'Panthenol' 'Tocopheryl Acetate'
 'Decyl Glucoside' 'Sorbitan Laurate' 'Tetrasodium Glutamate Diacetate'
 'Gluconolactone' 'Ethylhexylglycerin' 'Maltodextrin' 'Citric Acid'
 'Phenoxyethanol' 'Potassium Sorbate' 'Sodium Benzoate'
 'Gardenia Jasminoides Fruit Extract' 'Parfum' 'Sodium Hydroxide'
 'Sodium Glycolate' 'Sodium Formate' 'Hexyl Cinnamal' 'Linalool'
 'Limonene' 'Ci 75810']",35,"['redness_reducing' 'reduces_irritation' 'skin_texture'
 'reduces_large_pores' 'anti_aging' 'dark_spots' 'brightening' 'drying'
 'acne_trigger' 'irritating']","['redness_reducing' 'reduces_irritation' 'skin_texture'
 'reduces_large_pores' 'anti_aging' 'dark_spots' 'brightening']",['drying' 'acne_trigger' 'irritating'],[],7,3,0,True,False,True,True,False,False,False,True,False,False,False,True,"['Brassica Oleracea Acephala Leaf Extract', 'Spinacia Oleracea Leaf Extract', 'Camellia Sinensis Leaf Extract', 'Medicago Sativa Extract', 'Chamomilla Recutita Flower Extract', 'Ascorbyl Tetraisopalmitate', 'Tocopheryl Acetate', 'Gardenia Jasminoides Fruit Extract']","['Glycerin', 'Panthenol', 'Ethylhexylglycerin', 'Maltodextrin']",[],[],[],[],['Gluconolactone'],"['Aloe Barbadensis Leaf Juice Powder', 'Brassica Oleracea Acephala Leaf Extract', 'Spinacia Oleracea Leaf Extract', 'Camellia Sinensis Leaf Extract', 'Medicago Sativa Extract', 'Chamomilla Recutita Flower Extract', 'Gardenia Jasminoides Fruit Extract', 'Linalool', 'Limonene']",['Maltodextrin'],['Maltodextrin'],"['Sorbeth-230 Tetraoleate', 'Sodium Chloride', 'Glycerin']","['Parfum', 'Hexyl Cinnamal', 'Linalool', 'Limonene']","['Parfum', 'Hexyl Cinnamal', 'Linalool', 'Limonene']",[]
COSRX,Low pH Good Morning Gel Cleanser,face cleanser,South Korea,"['Water' 'Cocamidopropyl Betaine' 'Sodium Lauroyl Methyl Isethionate'
 'Sodium Chloride' 'Polysorbate 20'
 'Styrax Japonicus Branch/Fruit/Leaf Extract' 'Butylene Glycol'
 'Saccharomyces Ferment' 'Cryptomeria Japonica Leaf Extract'
 'Nelumbo Nucifera Leaf Extract' 'Pinus Palustris Leaf Extract'
 'Ulmus Davidiana Root Extract' 'Oenothera Biennis Flower Extract'
 'Pueraria Lobata Root Extract' 'Melaleuca Alternifolia Leaf Oil'
 'Allantoin' 'Caprylyl Glycol' 'Ethylhexylglycerin' 'Betaine Salicylate'
 'Citric Acid' 'Ethyl Hexanediol' '2-Hexanediol'
 'Trisodium Ethylenediamine Disuccinate' 'Sodium Benzoate' 'Disodium EDTA']",25,"['good_for_oily_skin' 'reduces_irritation' 'reduces_large_pores' 'drying'
 'acne_trigger' 'irritating']",['good_for_oily_skin' 'reduces_irritation' 'reduces_large_pores'],['drying' 'acne_trigger' 'irritating'],[],3,3,0,True,False,True,False,False,False,False,True,False,False,False,True,"['Styrax Japonicus Branch/Fruit/Leaf Extract', 'Cryptomeria Japonica Leaf Extract', 'Nelumbo Nucifera Leaf Extract', 'Pinus Palustris Leaf Extract', 'Ulmus Davidiana Root Extract', 'Oenothera Biennis Flower Extract', 'Pueraria Lobata Root Extract']","['Butylene Glycol', 'Ulmus Davidiana Root Extract', 'Ethylhexylglycerin']",[],[],[],[],['Betaine Salicylate'],"['Styrax Japonicus Branch/Fruit/Leaf Extract', 'Cryptomeria Japonica Leaf Extract', 'Nelumbo Nucifera Leaf Extract', 'Pinus Palustris Leaf Extract', 'Ulmus Davidiana Root Extract', 'Oenothera Biennis Flower Extract', 'Pueraria Lobata Root Extract', 'Melaleuca Alternifolia Leaf Oil', 'Allantoin', 'Caprylyl Glycol']",[],[],"['Cocamidopropyl Betaine', 'Sodium Chloride', 'Butylene Glycol']","['Melaleuca Alternifolia Leaf Oil', 'Ethyl Hexanediol']",['Melaleuca Alternifolia Leaf Oil'],[]
La Roche-Posay,Toleriane Purifying Foaming Face Cleanser,face cleanser,France,"['Water' 'Glycerin' 'Coco-Betaine' 'Propylene Glycol'
 'Sodium Cocoyl Glycinate' 'Peg-120 Methyl Glucose Dioleate'
 'Sodium Chloride' 'Ceramide NP' 'Niacinamide' 'Sodium Hydroxide'
 'Disodium EDTA' 'Capryloyl Glycine' 'Caprylyl Glycol' 'Citric Acid'
 'Acrylates Copolymer']",15,"['good_for_oily_skin' 'redness_reducing' 'anti_aging' 'acne_fighting'
 'brightening' 'drying' 'acne_trigger']","['good_for_oily_skin' 'redness_reducing' 'anti_aging' 'acne_fighting'
 'brightening']",['drying' 'acne_trigger'],[],5,2,0,False,False,False,False,False,True,True,True,False,False,False,True,['Niacinamide'],"['Glycerin', 'Propylene Glycol', 'Niacinamide']","['Ceramide NP', 'Acrylates Copolymer']",[],[],[],[],['Caprylyl Glycol'],[],['Acrylates Copolymer'],"['Glycerin', 'Propylene Glycol', 'PEG-120 Methyl Glucose Dioleate', 'Sodium Chloride', 'Acrylates Copolymer']",[],[],[]
The Ordinary,Azelaic Acid Suspension 10%,serum,Canada,"['Water' 'Isodecyl Neopentanoate' 'Dimethicone' 'Azelaic Acid'
 'Dimethicone/Bis-Isobutyl Ppg-20 Crosspolymer' 'Dimethyl Isosorbide'
 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer'
 'Polysilicone-11' 'Isohexadecane' 'Tocopherol'
 'Trisodium Ethylenediamine Disuccinate' 'Isoceteth-20' 'Polysorbate 60'
 'Triethanolamine' 'Ethoxydiglycol' 'Phenoxyethanol' 'Chlorphenesin']",17,"['redness_reducing' 'anti_aging' 'dark_spots' 'scar_healing' 'brightening'
 'irritating']",['redness_reducing' 'anti_aging' 'dark_spots' 'scar_healing' 'brightening'],['irritating'],[],5,1,0,False,False,False,False,False,False,False,False,False,False,False,True,"['Azelaic Acid', 'Tocopherol']",[],"['Isodecyl Neopentanoate', 'Dimethicone', 'Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer']",[],[],[],['Azelaic Acid'],[],[],[],"['Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer', 'Dimethyl Isosorbide', 'Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer', 'Polysilicone-11', 'Isohexadecane', 'Ethoxydiglycol']",[],[],[]
COSRX,Advanced Snail 92 All In One Cream,general moisturizer,South Korea,"['Snail Secretion Filtrate' 'Betaine' 'Caprylic/Capric Triglyceride'
 'Cetearyl Olivate' 'Sorbitan Olivate' 'Sodium Hyaluronate'
 'Cetearyl Alcohol' 'Stearic Acid' 'Arginine' 'Dimethicone' 'Carbomer'
 'Panthenol' 'Allantoin' 'Sodium Polyacrylate' 'Xanthan Gum'
 'Ethyl Hexanediol' 'Adenosine' 'Phenoxyethanol']",18,"['redness_reducing' 'reduces_irritation' 'may_worsen_oily_skin'
 'acne_trigger']",['redness_reducing' 'reduces_irritation'],['may_worsen_oily_skin' 'acne_trigger'],[],2,2,0,True,False,False,False,True,False,False,False,False,False,True,True,"['Snail Secretion Filtrate', 'Sodium Hyaluronate', 'Arginine']","['Betaine', 'Sodium Hyaluronate', 'Arginine', 'Panthenol']","['Caprylic/Capric Triglyceride', 'Cetearyl Alcohol', 'Stearic Acid', 'Dimethicone']",[],['Snail Secretion Filtrate'],[],[],"['Caprylic/Capric Triglyceride', 'Allantoin', 'Adenosine']",['Sodium Polyacrylate'],['Sodium Polyacrylate'],"['Caprylic/Capric Triglyceride', 'Cetearyl Olivate', 'Cetearyl Alcohol', 'Stearic Acid', 'Carbomer', 'Xanthan Gum']",['Ethyl Hexanediol'],[],[]
The Ordinary,Natural Moisturizing Factors + HA,general moisturizer,Canada,"['Water' 'Caprylic/Capric Triglyceride' 'Cetyl Alcohol' 'Propanediol'
 'Stearyl Alcohol' 'Glycerin' 'Sodium Hyaluronate' 'Arginine'
 'Aspartic Acid' 'Glycine' 'Alanine' 'Serine' 'Valine' 'Isoleucine'
 'Proline' 'Threonine' 'Histidine' 'Phenylalanine' 'Glucose' 'Maltose'
 'Fructose' 'Trehalose' 'Sodium PCA' 'PCA' 'Sodium Lactate' 'Urea'
 'Allantoin' 'Linoleic Acid' 'Oleic Acid' 'Phytosteryl Canola Glycerides'
 'Palmitic Acid' 'Stearic Acid' 'Lecithin' 'Triolein' 'Tocopherol'
 'Carbomer' 'Isoceteth-20' 'Polysorbate 60' 'Sodium Chloride'
 'Citric Acid' 'Trisodium Ethylenediamine Disuccinate' 'Pentylene Glycol'
 'Triethanolamine' 'Sodium Hydroxide' 'Phenoxyethanol' 'Chlorphenesin']",46,"['hydrating' 'reduces_large_pores' 'anti_aging' 'scar_healing'
 'brightening' 'drying' 'may_worsen_oily_skin' 'acne_trigger' 'irritating'
 'rosacea']","['hydrating' 'reduces_large_pores' 'anti_aging' 'scar_healing'
 'brightening']",['drying' 'may_worsen_oily_skin' 'acne_trigger' 'irritating'],['rosacea'],5,4,1,False,False,False,False,True,False,False,True,False,False,False,True,"['Sodium Hyaluronate', 'Arginine', 'Aspartic Acid', 'Alanine', 'Serine', 'Threonine', 'Histidine', 'Phenylalanine', 'Tocopherol']","['Glycerin', 'Sodium Hyaluronate', 'Arginine', 'Glycine', 'Serine', 'Valine', 'Isoleucine', 'Proline', 'Threonine', 'Glucose', 'Maltose', 'Fructose', 'Trehalose', 'Sodium PCA', 'PCA', 'Sodium Lactate', 'Urea', 'Pentylene Glycol']","['Caprylic/Capric Triglyceride', 'Cetyl Alcohol', 'Linoleic Acid', 'Stearic Acid', 'Lecithin', 'Triolein']",['Palmitic Acid'],[],[],['Urea'],"['Caprylic/Capric Triglyceride', 'Allantoin']",[],[],"['Caprylic/Capric Triglyceride', 'Cetyl Alcohol', 'Propanediol', 'Stearyl Alcohol', 'Glycerin', 'Oleic Acid', 'Stearic Acid', 'Carbomer', 'Sodium Chloride']",[],[],[]
Beauty of Joseon,Relief Sun : Rice + Probiotics,sunscreen,South Korea,"['Water' 'Oryza Sativa Extract 30%' 'Dibutyl Adipate' 'Propanediol'
 'Diethylamino Hydroxybenzoyl Hexyl Benzoate' 'Polymethylsilsesquioxane'
 'Ethylhexyl Triazone' 'Niacinamide'
 'Methylene Bis-Benzotriazolyl Tetramethylbutylphenol'
 'Coco-Caprylate/Caprate' 'Caprylyl Methicone'
 'Diethylhexyl Butamido Triazone' 'Glycerin' 'Butylene Glycol'
 'Oryza Sativa Germ Extract' 'Camellia Sinensis Leaf Extract'
 'Lactobacillus/Pumpkin Ferment Extract'
 'Bacillus/Soybean Ferment Extract' 'Saccharum Officinarum Extract'
 'Macrocystis Pyrifera Extract' 'Cocos Nucifera Fruit Extract'
 'Panax Ginseng Root Extract' 'Monascus/Rice Ferment' 'Pentylene Glycol'
 'Behenyl Alcohol' 'Poly C10-30 Alkyl Acrylate'
 'Polyglyceryl-3 Methylglucose Distearate' 'Decyl Glucoside'
 'Tromethamine' 'Carbomer' 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer'
 '2-Hexanediol' 'Sodium Stearoyl Glutamate' 'Polyacrylate Crosspolymer-6'
 'Ethylhexylglycerin' 'Adenosine' 'Xanthan Gum' 'Tocopherol'
 'Lactobacillus/Rice Ferment' 'Aspergillus Ferment'
 'Saccharomyces/Rice Ferment Filtrate']",41,['good_for_oily_skin' 'redness_reducing' 'acne_fighting' 'brightening'],['good_for_oily_skin' 'redness_reducing' 'acne_fighting' 'brightening'],[],[],4,0,0,False,False,False,False,False,True,False,False,False,False,False,True,"['Oryza Sativa Extract 30%', 'Niacinamide', 'Oryza Sativa Germ Extract', 'Camellia Sinensis Leaf Extract', 'Lactobacillus/Pumpkin Ferment Extract', 'Bacillus/Soybean Ferment Extract', 'Saccharum Officinarum Extract', 'Macrocystis Pyrifera Extract', 'Cocos Nucifera Fruit Extract', 'Panax Ginseng Root Extract', 'Tocopherol', 'Aspergillus Ferment']","['Niacinamide', 'Glycerin', 'Butylene Glycol', 'Pentylene Glycol', 'Ethylhexylglycerin']","['Dibutyl Adipate', 'Coco-Caprylate/Caprate', 'Caprylyl Methicone']",[],[],[],[],"['Oryza Sativa Extract 30%', 'Oryza Sativa Germ Extract', 'Camellia Sinensis Leaf Extract', 'Lactobacillus/Pumpkin Ferment Extract', 'Bacillus/Soybean Ferment Extract', 'Saccharum Officinarum Extract', 'Macrocystis Pyrifera Extract', 'Cocos Nucifera Fruit Extract', 'Panax Ginseng Root Extract', 'Adenosine']",[],"['Dibutyl Adipate', 'Polymethylsilsesquioxane']","['Propanediol', 'Glycerin', 'Butylene Glycol', 'Behenyl Alcohol', 'Carbomer', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Polyacrylate Crosspolymer-6', 'Xanthan Gum']",[],[],[]
